Postal Code,Region,Category,Sub-Category,Sales,Quantity
43229,East,Office Supplies,Fasteners,40.096,14
43229,East,Office Supplies,Envelopes,4.72,2
43229,East,Office Supplies,Paper,23.976,3
43229,East,Office Supplies,Envelopes,130.464,6
98103,West,Furniture,Tables,787.53,3
37620,South,Office Supplies,Binders,157.794,1
19805,East,Furniture,Furnishings,47.04,3
19805,East,Office Supplies,Binders,30.84,4
19805,East,Office Supplies,Storage,226.56,6
19805,East,Office Supplies,Envelopes,115.02,9
19805,East,Technology,Phones,68.04,7
77041,Central,Furniture,Chairs,600.558,3
61701,Central,Furniture,Tables,617.7,6
85023,West,Office Supplies,Binders,2.388,2
85023,West,Office Supplies,Storage,243.992,7
90004,West,Furniture,Chairs,81.424,2
90004,West,Furniture,Furnishings,238.56,3
43229,East,Technology,Phones,59.97,5
43229,East,Office Supplies,Paper,78.304,2
43229,East,Office Supplies,Fasteners,21.456,9
95661,West,Office Supplies,Paper,20.04,3
95661,West,Office Supplies,Paper,35.44,1
95661,West,Office Supplies,Art,11.52,4
95661,West,Office Supplies,Fasteners,4.02,2
95661,West,Office Supplies,Binders,76.176,3
95661,West,Office Supplies,Supplies,65.88,6
95661,West,Furniture,Furnishings,43.12,14
19140,East,Furniture,Furnishings,82.8,2
94122,West,Office Supplies,Art,8.82,3
94122,West,Office Supplies,Envelopes,10.86,3
94122,West,Office Supplies,Paper,143.7,3
64055,Central,Office Supplies,Appliances,839.43,3
91104,West,Office Supplies,Storage,671.93,7
43055,East,Furniture,Furnishings,93.888,4
53132,Central,Technology,Phones,384.45,11
53132,Central,Technology,Phones,149.97,3
53132,Central,Furniture,Chairs,1951.84,8
53132,Central,Office Supplies,Binders,171.55,5
85254,West,Office Supplies,Appliances,157.92,5
85254,West,Technology,Phones,203.184,2
95123,West,Office Supplies,Paper,58.38,7
95123,West,Office Supplies,Paper,105.52,4
95123,West,Office Supplies,Storage,80.88,6
98105,West,Office Supplies,Art,6.63,3
98115,West,Furniture,Chairs,457.568,2
73034,Central,Office Supplies,Labels,14.62,2
73034,Central,Technology,Phones,944.93,7
90045,West,Office Supplies,Paper,5.98,1
19134,East,Technology,Accessories,54.384,2
88220,West,Office Supplies,Envelopes,28.4,5
98115,West,Office Supplies,Binders,27.68,2
78207,Central,Office Supplies,Art,9.936,3
78207,Central,Technology,Machines,8159.952,8
78207,Central,Office Supplies,Storage,275.928,3
78207,Central,Furniture,Chairs,1740.06,9
78207,Central,Office Supplies,Art,32.064,6
78207,Central,Office Supplies,Appliances,177.98,5
78207,Central,Technology,Phones,143.976,3
90004,West,Office Supplies,Paper,20.94,3
90004,West,Office Supplies,Paper,110.96,2
90004,West,Furniture,Chairs,340.144,7
60623,Central,Office Supplies,Appliances,52.448,2
60623,Central,Office Supplies,Labels,20.16,4
77036,Central,Office Supplies,Appliances,97.264,4
43055,East,Furniture,Chairs,396.802,7
43055,East,Office Supplies,Supplies,15.88,5
10009,East,Office Supplies,Art,3.28,1
62521,Central,Office Supplies,Storage,24.816,2
62521,Central,Technology,Accessories,408.744,7
71203,South,Technology,Phones,503.96,4
71203,South,Technology,Phones,149.95,5
71203,South,Technology,Accessories,29,2
6824,East,Office Supplies,Binders,7.16,2
90032,West,Technology,Accessories,176.8,8
75051,Central,Office Supplies,Storage,37.224,3
75051,Central,Office Supplies,Paper,20.016,3
10035,East,Furniture,Bookcases,899.136,4
10035,East,Technology,Phones,71.76,6
10035,East,Office Supplies,Paper,51.84,8
10035,East,Furniture,Bookcases,626.352,3
10035,East,Office Supplies,Art,19.9,5
92374,West,Office Supplies,Envelopes,14.28,7
45011,East,Office Supplies,Art,7.408,2
45011,East,Office Supplies,Art,6.048,3
7090,East,Office Supplies,Storage,46.26,3
19120,East,Office Supplies,Binders,2.946,2
19120,East,Office Supplies,Paper,16.056,3
44312,East,Office Supplies,Paper,21.744,3
80219,West,Furniture,Tables,218.75,2
80219,West,Office Supplies,Appliances,2.6,1
75220,Central,Office Supplies,Appliances,66.284,2
37064,South,Furniture,Furnishings,35.168,7
90604,West,Technology,Phones,444.768,4
48601,Central,Office Supplies,Storage,83.92,4
48601,Central,Technology,Phones,131.98,2
48601,Central,Office Supplies,Binders,15.92,4
48601,Central,Office Supplies,Fasteners,52.29,9
48601,Central,Office Supplies,Storage,91.99,1
75220,Central,Technology,Accessories,20.8,2
44256,East,Office Supplies,Labels,23.68,2
44256,East,Furniture,Bookcases,452.45,5
44256,East,Technology,Phones,62.982,3
44256,East,Technology,Machines,1188,9
44256,East,Technology,Accessories,89.584,2
90032,West,Office Supplies,Storage,93.06,6
90032,West,Technology,Phones,302.376,3
43017,East,Office Supplies,Fasteners,5.584,2
43017,East,Office Supplies,Paper,22.704,6
43017,East,Office Supplies,Binders,19.776,4
43017,East,Furniture,Furnishings,72.704,4
43017,East,Technology,Machines,479.988,4
43017,East,Office Supplies,Art,27.168,2
48227,Central,Office Supplies,Art,2.2,1
48227,Central,Furniture,Tables,622.45,5
48227,Central,Office Supplies,Storage,21.98,1
38401,South,Furniture,Chairs,161.568,2
38401,South,Furniture,Chairs,389.696,8
28205,South,Office Supplies,Binders,18.648,7
33614,South,Furniture,Tables,233.86,2
33614,South,Furniture,Tables,620.6145,3
33614,South,Office Supplies,Binders,5.328,2
33614,South,Furniture,Furnishings,258.072,3
33614,South,Technology,Accessories,617.976,3
95051,West,Office Supplies,Paper,10.56,2
60610,Central,Office Supplies,Paper,25.92,5
60610,Central,Furniture,Furnishings,419.68,5
60610,Central,Furniture,Furnishings,11.688,3
60610,Central,Technology,Phones,31.984,2
60610,Central,Furniture,Tables,177.225,5
60610,Central,Furniture,Furnishings,4.044,3
60610,Central,Office Supplies,Art,7.408,2
55044,Central,Furniture,Chairs,2001.86,7
55044,Central,Office Supplies,Storage,166.72,2
55044,Central,Office Supplies,Paper,47.88,6
55044,Central,Office Supplies,Appliances,1503.25,5
55044,Central,Office Supplies,Paper,25.92,4
94109,West,Furniture,Chairs,321.568,2
92037,West,Office Supplies,Paper,7.61,1
92037,West,Technology,Accessories,3347.37,13
10024,East,Office Supplies,Storage,80.58,6
10024,East,Office Supplies,Envelopes,361.92,4
60623,Central,Furniture,Furnishings,12.132,9
60623,Central,Office Supplies,Storage,82.368,2
60623,Central,Office Supplies,Storage,53.92,5
60623,Central,Technology,Phones,647.904,6
10009,East,Technology,Accessories,20.37,3
10009,East,Office Supplies,Storage,221.55,3
10009,East,Office Supplies,Binders,17.52,5
77506,Central,Office Supplies,Appliances,1.624,2
77036,Central,Technology,Machines,3059.982,3
77036,Central,Technology,Machines,2519.958,7
60610,Central,Technology,Phones,328.224,4
94513,West,Technology,Accessories,79.9,2
27514,South,Office Supplies,Art,14.016,3
7960,East,Office Supplies,Fasteners,7.56,6
45231,East,Office Supplies,Storage,37.208,1
45231,East,Office Supplies,Envelopes,57.576,3
94110,West,Office Supplies,Storage,725.84,4
94109,West,Technology,Accessories,209.93,7
94109,West,Furniture,Furnishings,5.28,3
94109,West,Office Supplies,Binders,10.92,3
90301,West,Office Supplies,Paper,8.82,2
90301,West,Office Supplies,Art,5.98,1
19140,East,Office Supplies,Paper,11.648,2
19140,East,Office Supplies,Paper,18.176,4
19140,East,Office Supplies,Storage,59.712,6
19140,East,Office Supplies,Labels,24.84,3
77070,Central,Office Supplies,Binders,2.08,5
77070,Central,Technology,Phones,1114.4,7
90004,West,Furniture,Tables,1038.84,5
97206,West,Office Supplies,Paper,141.76,5
97206,West,Technology,Accessories,239.8,5
97206,West,Office Supplies,Paper,31.104,6
33319,South,Office Supplies,Binders,254.058,7
33319,South,Office Supplies,Appliances,194.528,2
33319,South,Office Supplies,Supplies,961.48,5
43229,East,Office Supplies,Fasteners,19.096,7
43229,East,Office Supplies,Labels,18.496,8
43229,East,Technology,Accessories,255.984,2
43229,East,Furniture,Bookcases,86.97,3
80906,West,Furniture,Furnishings,300.416,8
80906,West,Furniture,Chairs,230.352,3
80906,West,Furniture,Furnishings,218.352,3
80906,West,Office Supplies,Binders,78.6,5
80906,West,Office Supplies,Fasteners,27.552,3
7109,East,Office Supplies,Paper,32.4,5
7109,East,Office Supplies,Storage,1082.48,8
7109,East,Office Supplies,Paper,56.91,3
7109,East,Furniture,Furnishings,77.6,4
7109,East,Office Supplies,Binders,14.28,1
60623,Central,Furniture,Tables,219.075,3
10024,East,Furniture,Furnishings,26.8,2
48180,Central,Office Supplies,Art,9.84,3
8701,East,Office Supplies,Binders,45.48,3
8701,East,Office Supplies,Art,289.2,6
22204,South,Office Supplies,Art,4.89,1
80004,West,Furniture,Furnishings,15.136,4
80004,West,Furniture,Chairs,466.768,2
80004,West,Furniture,Furnishings,15.232,1
80004,West,Office Supplies,Labels,6.264,3
7601,East,Furniture,Furnishings,87.54,3
33710,South,Technology,Phones,178.384,2
33710,South,Office Supplies,Paper,15.552,3
19143,East,Office Supplies,Art,99.136,4
10024,East,Furniture,Chairs,135.882,1
10024,East,Technology,Machines,3991.98,2
10024,East,Technology,Phones,275.94,6
10024,East,Technology,Accessories,360,4
10024,East,Office Supplies,Storage,43.57,1
90805,West,Office Supplies,Fasteners,7.16,2
92345,West,Office Supplies,Binders,251.52,6
92345,West,Technology,Accessories,99.99,1
37130,South,Furniture,Furnishings,15.992,1
19143,East,Technology,Phones,290.898,3
19143,East,Office Supplies,Storage,54.224,2
19143,East,Furniture,Chairs,786.744,4
19143,East,Office Supplies,Labels,100.24,10
19143,East,Office Supplies,Binders,37.764,6
19134,East,Technology,Phones,82.8,2
19134,East,Office Supplies,Binders,20.724,2
19134,East,Office Supplies,Binders,4.896,3
90045,West,Office Supplies,Binders,4.752,1
90045,West,Technology,Copiers,959.984,2
90045,West,Office Supplies,Binders,14.368,4
94122,West,Office Supplies,Binders,7.712,2
94122,West,Furniture,Tables,698.352,3
84041,West,Office Supplies,Fasteners,4.96,4
19140,East,Office Supplies,Art,17.856,4
19140,East,Office Supplies,Binders,509.97,10
19140,East,Office Supplies,Fasteners,30.992,13
19140,East,Technology,Phones,71.928,12
78745,Central,Office Supplies,Storage,88.8,4
94122,West,Technology,Phones,47.976,3
1852,East,Office Supplies,Art,7.56,3
1852,East,Office Supplies,Paper,24.56,2
1852,East,Office Supplies,Art,12.96,2
10009,East,Technology,Accessories,6.79,1
10009,East,Office Supplies,Paper,24.56,2
10009,East,Office Supplies,Binders,3.048,1
10009,East,Office Supplies,Paper,49.12,4
10009,East,Office Supplies,Binders,4355.168,4
10035,East,Furniture,Bookcases,388.704,6
10035,East,Office Supplies,Envelopes,8.26,2
10035,East,Office Supplies,Art,17.04,4
10035,East,Office Supplies,Paper,34.4,5
28205,South,Office Supplies,Paper,36.24,5
31907,South,Office Supplies,Appliances,647.84,8
31907,South,Office Supplies,Labels,20.7,2
10009,East,Office Supplies,Labels,20.7,2
10009,East,Furniture,Chairs,488.646,3
10009,East,Office Supplies,Art,5.56,2
10009,East,Furniture,Furnishings,47.12,8
94109,West,Office Supplies,Storage,211.96,4
6040,East,Office Supplies,Binders,23.2,4
6040,East,Office Supplies,Supplies,7.36,2
6040,East,Office Supplies,Storage,104.79,7
6040,East,Furniture,Bookcases,1043.92,4
78550,Central,Office Supplies,Paper,25.92,5
78550,Central,Office Supplies,Storage,53.424,3
85705,West,Office Supplies,Binders,8.16,5
85705,West,Technology,Accessories,1023.936,8
85705,West,Office Supplies,Art,9.24,1
85705,West,Technology,Accessories,479.04,10
62301,Central,Office Supplies,Paper,99.136,4
2038,East,Furniture,Tables,1488.424,7
77095,Central,Office Supplies,Appliances,8.652,3
77095,Central,Office Supplies,Storage,23.832,3
77095,Central,Office Supplies,Binders,12.176,4
94109,West,Office Supplies,Paper,50.96,7
94109,West,Office Supplies,Binders,49.536,3
48180,Central,Technology,Accessories,41.9,2
33024,South,Furniture,Tables,375.4575,3
33024,South,Technology,Accessories,83.976,3
19140,East,Technology,Machines,482.34,4
19140,East,Furniture,Furnishings,2.96,1
45231,East,Office Supplies,Art,2.624,1
10009,East,Office Supplies,Binders,23.36,4
10009,East,Technology,Accessories,39.98,2
98198,West,Technology,Phones,246.384,2
98198,West,Technology,Copiers,1799.97,3
61604,Central,Office Supplies,Binders,12.462,3
89115,West,Office Supplies,Binders,75.792,3
2886,East,Office Supplies,Storage,49.96,2
2886,East,Office Supplies,Paper,12.96,2
49201,Central,Office Supplies,Supplies,70.12,4
77036,Central,Office Supplies,Storage,35.952,3
77036,Central,Furniture,Bookcases,2396.2656,4
77036,Central,Office Supplies,Storage,131.136,4
77036,Central,Technology,Accessories,57.584,2
33180,South,Office Supplies,Paper,9.568,2
28403,South,Office Supplies,Art,39.072,6
10024,East,Office Supplies,Appliances,35.91,3
94110,West,Technology,Accessories,179.95,5
94110,West,Technology,Copiers,1199.976,3
94110,West,Office Supplies,Paper,27.15,5
94110,West,Furniture,Tables,1004.024,7
94110,West,Office Supplies,Paper,9.68,1
94110,West,Office Supplies,Labels,28.35,9
94110,West,Office Supplies,Paper,55.98,1
94110,West,Furniture,Bookcases,1336.829,13
94110,West,Furniture,Chairs,113.568,2
98105,West,Office Supplies,Paper,139.86,7
98105,West,Furniture,Chairs,307.136,4
92646,West,Office Supplies,Art,95.92,8
90004,West,Furniture,Chairs,383.8,5
40475,South,Office Supplies,Paper,5.78,1
90045,West,Office Supplies,Art,9.32,4
90045,West,Office Supplies,Envelopes,15.25,1
80027,West,Technology,Accessories,196.752,6
1841,East,Furniture,Furnishings,56.56,4
1841,East,Office Supplies,Storage,32.7,3
39212,South,Furniture,Chairs,866.4,4
48187,Central,Furniture,Furnishings,28.4,2
48187,Central,Office Supplies,Binders,287.92,8
10801,East,Technology,Machines,69.99,1
78207,Central,Office Supplies,Art,6.672,6
28052,South,Office Supplies,Binders,189.588,2
28052,South,Technology,Accessories,408.744,7
28052,South,Technology,Accessories,291.96,5
28052,South,Office Supplies,Storage,4.768,2
1852,East,Office Supplies,Storage,714.3,5
32216,South,Office Supplies,Binders,4.812,2
32216,South,Technology,Accessories,247.8,5
60623,Central,Technology,Machines,1007.979,3
60623,Central,Office Supplies,Paper,313.488,7
77070,Central,Office Supplies,Paper,31.872,8
10024,East,Furniture,Chairs,207.846,3
48227,Central,Furniture,Furnishings,12.22,1
48227,Central,Office Supplies,Storage,194.94,3
48227,Central,Office Supplies,Storage,70.95,3
48227,Central,Office Supplies,Paper,91.36,4
48227,Central,Furniture,Chairs,242.94,3
48227,Central,Office Supplies,Labels,22.05,7
47201,Central,Furniture,Furnishings,2.91,1
13021,East,Office Supplies,Art,59.52,3
13021,East,Office Supplies,Storage,161.94,3
13021,East,Office Supplies,Art,263.88,6
13021,East,Office Supplies,Art,30.48,3
13021,East,Office Supplies,Art,9.84,3
13021,East,Technology,Phones,35.12,4
44312,East,Furniture,Tables,284.364,2
44312,East,Office Supplies,Storage,665.408,2
73071,Central,Technology,Accessories,63.88,4
94521,West,Furniture,Chairs,129.568,2
62521,Central,Furniture,Chairs,747.558,3
62521,Central,Office Supplies,Envelopes,8.928,2
98115,West,Office Supplies,Appliances,103.92,4
98115,West,Technology,Accessories,899.91,9
98115,West,Office Supplies,Binders,51.312,3
85023,West,Furniture,Furnishings,23.56,5
85023,West,Furniture,Tables,1272.63,6
85023,West,Office Supplies,Binders,28.485,5
85023,West,Office Supplies,Supplies,185.376,2
85023,West,Office Supplies,Appliances,78.272,2
60068,Central,Furniture,Furnishings,254.744,7
79109,Central,Furniture,Bookcases,205.3328,2
60610,Central,Office Supplies,Binders,4.788,3
11757,East,Office Supplies,Paper,55.48,1
94110,West,Office Supplies,Storage,340.92,3
94110,West,Furniture,Bookcases,222.666,2
94110,West,Technology,Phones,703.968,4
94110,West,Office Supplies,Storage,92.52,6
94110,West,Office Supplies,Paper,62.65,7
94110,West,Office Supplies,Paper,94.85,5
90008,West,Technology,Phones,95.76,6
12180,East,Furniture,Furnishings,40.2,3
10024,East,Office Supplies,Art,14.7,5
10024,East,Office Supplies,Storage,704.25,5
92024,West,Technology,Accessories,9.09,3
10024,East,Office Supplies,Art,5.96,2
10024,East,Technology,Accessories,159.98,2
90045,West,Office Supplies,Labels,29.6,2
90045,West,Furniture,Bookcases,514.165,5
90045,West,Technology,Phones,279.96,5
60610,Central,Technology,Phones,2735.952,6
77340,Central,Technology,Phones,7.992,1
77340,Central,Technology,Accessories,63.984,2
77340,Central,Office Supplies,Art,70.368,2
14609,East,Office Supplies,Storage,449.15,5
14609,East,Office Supplies,Envelopes,11.07,3
98115,West,Technology,Accessories,93.98,2
38109,South,Furniture,Tables,189.882,3
72701,South,Office Supplies,Envelopes,105.42,2
92627,West,Office Supplies,Binders,119.616,8
92627,West,Furniture,Furnishings,255.76,4
92627,West,Furniture,Chairs,241.568,2
92627,West,Furniture,Furnishings,69.3,9
80134,West,Office Supplies,Binders,22.62,2
80134,West,Office Supplies,Binders,14.952,2
80134,West,Furniture,Chairs,801.568,2
80134,West,Office Supplies,Binders,2.376,3
80134,West,Office Supplies,Paper,32.792,1
10024,East,Office Supplies,Binders,15.92,5
30318,South,Office Supplies,Art,2.74,1
30318,South,Office Supplies,Art,8.34,3
30318,South,Office Supplies,Storage,46.74,3
30318,South,Office Supplies,Binders,6354.95,5
64118,Central,Furniture,Furnishings,126.3,3
64118,Central,Technology,Accessories,38.04,2
43055,East,Office Supplies,Art,7.152,3
90049,West,Office Supplies,Art,6.63,3
90049,West,Office Supplies,Art,5.88,2
59405,West,Technology,Copiers,2999.95,5
59405,West,Office Supplies,Storage,51.45,3
59405,West,Office Supplies,Paper,11.96,2
59405,West,Office Supplies,Storage,1126.02,3
77041,Central,Technology,Accessories,18.392,1
77041,Central,Office Supplies,Storage,129.568,2
77041,Central,Office Supplies,Binders,14.112,9
48234,Central,Furniture,Tables,210.98,2
90032,West,Technology,Phones,55.176,3
90032,West,Technology,Accessories,66.26,2
1841,East,Office Supplies,Fasteners,22.2,5
33801,South,Furniture,Chairs,683.952,3
33801,South,Furniture,Furnishings,45.696,3
19134,East,Office Supplies,Storage,36.336,3
19134,East,Office Supplies,Supplies,666.248,1
19134,East,Office Supplies,Envelopes,52.512,6
90036,West,Furniture,Chairs,190.72,1
90032,West,Furniture,Furnishings,47.94,3
36116,South,Technology,Phones,979.95,5
36116,South,Office Supplies,Binders,22.75,5
85204,West,Office Supplies,Storage,16.768,2
60653,Central,Office Supplies,Binders,42.616,7
10009,East,Office Supplies,Binders,10.752,4
42420,South,Office Supplies,Appliances,152.94,3
42420,South,Furniture,Chairs,283.92,4
54302,Central,Technology,Accessories,468.9,6
85705,West,Technology,Phones,380.864,8
45503,East,Office Supplies,Storage,646.776,9
76106,Central,Technology,Accessories,58.112,2
76106,Central,Technology,Phones,100.792,1
76106,Central,Furniture,Furnishings,66.112,4
10035,East,Office Supplies,Binders,41.28,6
10035,East,Office Supplies,Paper,13.36,2
60653,Central,Office Supplies,Storage,250.272,9
60653,Central,Office Supplies,Binders,11.364,3
60653,Central,Office Supplies,Supplies,8.72,5
94110,West,Furniture,Chairs,1121.568,2
32216,South,Furniture,Furnishings,34.504,1
77070,Central,Office Supplies,Fasteners,10.824,3
92804,West,Office Supplies,Storage,1295.78,2
28403,South,Office Supplies,Art,19.456,4
90045,West,Office Supplies,Labels,20.7,2
90045,West,Furniture,Tables,1335.68,4
90045,West,Office Supplies,Paper,32.4,5
94110,West,Furniture,Furnishings,42.6,3
94110,West,Office Supplies,Binders,84.056,7
33614,South,Office Supplies,Appliances,13,5
33614,South,Furniture,Furnishings,13.128,3
98105,West,Office Supplies,Fasteners,3.96,2
98105,West,Office Supplies,Labels,2.61,1
90008,West,Technology,Phones,374.376,3
98105,West,Office Supplies,Paper,91.84,8
98105,West,Office Supplies,Binders,81.088,7
98105,West,Office Supplies,Paper,19.44,3
98105,West,Furniture,Chairs,451.152,3
10024,East,Office Supplies,Labels,72.45,7
10024,East,Office Supplies,Fasteners,13.96,4
10024,East,Office Supplies,Binders,33.264,7
10024,East,Technology,Phones,14.85,3
98270,West,Office Supplies,Art,8.82,3
90805,West,Office Supplies,Paper,160.72,14
90805,West,Office Supplies,Paper,19.92,4
90805,West,Office Supplies,Supplies,7.3,2
60610,Central,Office Supplies,Storage,69.712,2
60610,Central,Furniture,Furnishings,8.792,1
90004,West,Office Supplies,Supplies,51.52,4
80219,West,Technology,Phones,470.376,3
80219,West,Technology,Phones,105.584,2
80219,West,Office Supplies,Appliances,31.152,3
80219,West,Office Supplies,Binders,6.783,7
80219,West,Technology,Phones,406.368,4
40475,South,Furniture,Chairs,70.98,1
40475,South,Office Supplies,Labels,294.93,3
97301,West,Technology,Phones,84.784,2
97301,West,Office Supplies,Paper,20.736,4
97301,West,Office Supplies,Binders,16.821,3
97301,West,Office Supplies,Paper,10.368,2
78041,Central,Office Supplies,Art,9.344,2
78041,Central,Technology,Accessories,31.2,3
92024,West,Office Supplies,Appliances,76.12,2
92024,West,Technology,Copiers,1199.976,3
92024,West,Technology,Phones,445.96,5
92024,West,Furniture,Furnishings,327.76,8
19134,East,Office Supplies,Supplies,11.632,2
19120,East,Technology,Phones,143.982,3
19120,East,Technology,Phones,494.376,4
19120,East,Office Supplies,Supplies,5.84,2
33614,South,Office Supplies,Storage,142.776,1
33614,South,Furniture,Furnishings,45.696,3
33614,South,Office Supplies,Binders,7.218,3
33614,South,Office Supplies,Binders,43.188,4
33614,South,Office Supplies,Paper,131.904,3
19134,East,Office Supplies,Binders,3.282,2
19134,East,Office Supplies,Art,21.168,9
19134,East,Technology,Phones,55.188,2
75217,Central,Technology,Phones,369.576,3
75217,Central,Office Supplies,Labels,15.712,4
19143,East,Office Supplies,Paper,8.448,2
19143,East,Technology,Phones,728.946,9
43123,East,Technology,Phones,119.94,10
43123,East,Office Supplies,Binders,3.648,2
10011,East,Furniture,Furnishings,40.48,2
10011,East,Furniture,Furnishings,9.94,2
10011,East,Office Supplies,Binders,107.424,9
10011,East,Technology,Phones,37.91,1
10011,East,Furniture,Furnishings,88.02,3
60610,Central,Office Supplies,Binders,8.69,5
48126,Central,Furniture,Chairs,301.96,2
48126,Central,Office Supplies,Appliances,555.21,5
48126,Central,Office Supplies,Storage,523.48,4
48126,Central,Office Supplies,Art,161.82,9
10009,East,Furniture,Furnishings,35.56,7
98115,West,Office Supplies,Appliances,97.16,2
94122,West,Office Supplies,Binders,15.24,5
94122,West,Office Supplies,Paper,13.23,3
80013,West,Office Supplies,Storage,243.384,3
80013,West,Technology,Accessories,119.8,5
80013,West,Technology,Phones,300.768,4
33180,South,Technology,Accessories,17.88,3
33180,South,Office Supplies,Labels,235.944,3
31088,South,Furniture,Chairs,392.94,3
80013,West,Office Supplies,Binders,18.882,3
80013,West,Office Supplies,Appliances,122.328,3
94591,West,Furniture,Furnishings,1049.2,5
94591,West,Office Supplies,Binders,15.424,4
55407,Central,Furniture,Furnishings,18.84,3
